Año;Mes;Precipitaciones;ISSP
1940;1;128.29;0.942135744
1940;2;64.527;1.073048085
1940;3;68.5373;1.409040932
1940;4;26.6602;-0.063729387
1940;5;34.6129;-0.10692632
1940;6;43.4925;0.165065877
1940;7;3.08515;0.174706745
1940;8;18.7229;0.318535283
1940;9;6.18386;0.093846306
1940;10;111.596;0.721038844
1940;11;58.7007;0.812198808
1940;12;12.4267;-0.243020622
1941;1;199.796;1.213265481
1941;2;148.674;2.152344736
1941;3;50.612;2.316178927
1941;4;103.751;2.820237588
1941;5;56.3726;2.98602576
1941;6;26.3296;3.093181564
1941;7;11.6654;3.185229103
1941;8;5.40132;3.201114159
1941;9;42.2572;3.468807504
1941;10;11.3978;-0.162524231
1941;11;88.3924;0.213801568
1941;12;22.1937;-0.149216134
1942;1;34.0807;-0.284497438
1942;2;40.2978;-0.386287841
1942;3;111.534;0.362655086
1942;4;88.4898;0.720141713
1942;5;17.4535;-0.035390193
1942;6;6.46297;-0.119038019
1942;7;0.572601;-0.133528243
1942;8;1.68354;-0.153349592
1942;9;46.9518;0.159431759
1942;10;100.505;0.680103812
1942;11;55.6986;0.742430925
1942;12;59.6354;0.780203871
1943;1;59.6354;0.890355714
1943;2;16.4058;-0.158645084
1943;3;97.0575;0.451262246
1943;4;70.733;0.63820853
1943;5;23.862;0.026158497
1943;6;1.60337;-0.104162031
1943;7;10.3711;-0.024545244
1943;8;0.414955;-0.056550371
1943;9;39.9481;0.188965853
1943;10;36.5503;0.079046096
1943;11;12.9819;-0.268887687
1943;12;129.55;0.440360968
1944;1;1.09977;-0.279428135
1944;2;56.2456;-0.228052241
1944;3;47.0393;-0.098531073
1944;4;54.0152;-0.07214634
1944;5;43.4436;-0.030531223
1944;6;27.5751;0.088586647
1944;7;0.899792;0.077238839
1944;8;20.6651;0.239720708
1944;9;35.7973;0.445371705
1944;10;46.587;0.448203031
1944;11;41.6251;0.099771538
1944;12;36.5774;-0.083909789
1945;1;61.727;0.046330256
1945;2;1.56684;-0.42744109
1945;3;31.7338;-0.444917422
1945;4;1.36572;-0.924190262
1945;5;6.06097;-1.24160642
1945;6;21.5015;-1.180820786
1945;7;2.35467;-1.178195614
1945;8;0.652281;-1.207921408
1945;9;0.432026;-1.341926541
1945;10;35.7282;-1.443385598
1945;11;75.6602;-1.189342741
1945;12;104.626;-0.719469847
1946;1;35.3351;-0.842703608
1946;2;22.4185;-1.116210872
1946;3;101.348;-0.465096605
1946;4;97.9695;-0.016564784
1946;5;106.348;0.629198488
1946;6;15.4127;0.631505903
1946;7;8.73003;0.695361481
1946;8;0.00994659;0.136714598
1946;9;13.2018;0.125353277
1946;10;32.0818;-0.011126635
1946;11;97.0912;0.448744417
1946;12;31.1368;-0.063324569
1947;1;100.7;0.441221027
1947;2;221.308;2.077893726
1947;3;153.334;3.228293354
1947;4;24.2959;-0.086436662
1947;5;31.2588;-0.161847133
1947;6;3.06897;-0.278091706
1947;7;2.31222;-0.275874234
1947;8;7.20713;-0.242645769
1947;9;23.9286;-0.150984464
1947;10;66.649;0.04452687
1947;11;35.0512;-0.091448339
1947;12;78.7914;0.130303184
1948;1;142.924;1.040377673
1948;2;71.6673;1.239867078
1948;3;16.7929;0.011637386
1948;4;68.4676;0.176826253
1948;5;86.759;0.634452317
1948;6;5.5587;0.080276877
1948;7;1.03281;0.070206605
1948;8;0.815324;0.042046713
1948;9;0.937793;-0.087100919
1948;10;50.0133;-0.051362629
1948;11;0.840279;-0.515907299
1948;12;63.9866;-0.436344439
1949;1;26.4033;-0.645361238
1949;2;15.2982;-0.987253482
1949;3;30.3697;-1.01783094
1949;4;43.2331;-1.094999946
1949;5;29.5476;-1.186845172
1949;6;13.2739;-1.205079277
1949;7;3.21096;-1.194230102
1949;8;8.88847;-1.144853665
1949;9;75.3077;-0.559735806
1949;10;2.6623;-0.978767282
1949;11;56.5703;-0.908068164
1949;12;49.4018;-0.968581039
1950;1;29.9512;-1.143522999
1950;2;37.124;-1.275795299
1950;3;37.0098;-1.242599728
1950;4;15.6564;-1.584621629
1950;5;53.5474;-1.44596732
1950;6;1.85595;-1.573862013
1950;7;1.19585;-1.582366412
1950;8;10.6661;-1.515917212
1950;9;41.7556;-1.253041348
1950;10;38.4836;-1.328036917
1950;11;34.4487;-1.469798673
1950;12;81.8923;-1.218265401
1951;1;79.1158;-0.921019369
1951;2;94.1414;-0.505683599
1951;3;103.079;0.162055586
1951;4;50.5229;0.154899476
1951;5;35.9387;0.124435827
1951;6;10.363;0.078244776
1951;7;0.272113;0.060868597
1951;8;0.608094;0.030718421
1951;9;55.5576;0.426151831
1951;10;33.4605;0.049370954
1951;11;161.792;1.130643195
1951;12;32.751;-0.047821425
1952;1;48.8684;-0.041078297
1952;2;17.3291;-0.363465315
1952;3;96.1436;0.237664711
1952;4;67.9511;0.397892996
1952;5;95.6085;0.940511669
1952;6;14.2491;0.163741454
1952;7;9.17046;0.231827022
1952;8;32.8257;0.511102057
1952;9;13.0337;0.159633726
1952;10;41.6105;0.114669615
1952;11;41.8612;0.044099194
1952;12;84.1262;0.317087349
1953;1;29.4324;-0.007315116
1953;2;23.2764;-0.272582914
1953;3;43.6487;-0.175625838
1953;4;69.9332;0.003638985
1953;5;5.6769;-0.317465869
1953;6;10.8606;-0.358877856
1953;7;3.69761;-0.343354784
1953;8;0.627746;-0.373316218
1953;9;9.43782;-0.420827658
1953;10;70.8545;-0.184925746
1953;11;18.1323;-0.483393916
1953;12;72.5024;-0.322043378
1954;1;23.3488;-0.560396289
1954;2;37.6276;-0.687831899
1954;3;94.0581;-0.106731489
1954;4;39.6239;-0.218564072
1954;5;12.0917;-0.478059728
1954;6;9.42609;-0.533249076
1954;7;0.808813;-0.545470666
1954;8;0.195253;-0.579585861
1954;9;0.679524;-0.711213967
1954;10;8.70696;-1.072191155
1954;11;61.0095;-0.958856951
1954;12;43.9723;-1.071515978
1955;1;125.846;-0.325462483
1955;2;115.487;0.294881281
1955;3;56.3361;0.51369103
1955;4;19.8744;-0.128901752
1955;5;24.3121;-0.27102991
1955;6;19.584;-0.228660381
1955;7;0.481743;-0.244023226
1955;8;3.69277;-0.244547473
1955;9;12.3861;-0.263742962
1955;10;103.256;0.283350321
1955;11;69.0859;0.474252106
1955;12;95.1811;0.853414034
1956;1;59.1775;0.959168101
1956;2;36.7632;0.036872013
1956;3;132.585;0.987993528
1956;4;100.238;1.458312538
1956;5;9.23289;-0.1143428
1956;6;2.01851;-0.24067623
1956;7;5.40746;-0.208731369
1956;8;15.9347;-0.091681338
1956;9;27.1603;0.031017948
1956;10;24.5601;-0.17770208
1956;11;36.0332;-0.304245938
1956;12;32.2464;-0.529523174
1957;1;24.9581;-0.752420001
1957;2;33.41;-0.920362401
1957;3;42.9686;-0.829937161
1957;4;80.1387;-0.552656396
1957;5;81.3123;-0.147341677
1957;6;15.8277;-0.141048507
1957;7;0.412887;-0.157072661
1957;8;2.37081;-0.170293312
1957;9;24.7408;-0.070831454
1957;10;70.878;0.165296158
1957;11;68.3306;0.34894387
1957;12;58.9751;0.380375144
1958;1;45.1421;0.143564413
1958;2;17.5242;-0.17694882
