Año;Mes;Precipitaciones;ISSP
1940;01;133.147;1.058236405
1940;02;64.1161;1.224350536
1940;03;61.0007;1.496898409
1940;04;37.6928;0.165495631
1940;05;38.8484;0.104197661
1940;06;62.1627;0.497359895
1940;07;3.8738;0.51212929
1940;08;19.4811;0.637958605
1940;09;2.33619;0.208096512
1940;10;95.8329;0.636743889
1940;11;39.9893;0.18841901
1940;12;13.3199;-0.169432851
1941;01;214.932;1.243424295
1941;02;123.973;1.918599203
1941;03;65.3445;2.228089487
1941;04;100.244;2.584629509
1941;05;52.3654;2.63828862
1941;06;33.1214;2.784465347
1941;07;40.1327;3.107603266
1941;08;2.82433;0.325100063
1941;09;52.5358;0.619195266
1941;10;6.4524;0.00942972
1941;11;122.835;0.561490332
1941;12;20.3905;0.043211386
1942;01;31.7448;-0.101870796
1942;02;39.1197;-0.148341794
1942;03;140.479;0.8001396
1942;04;101.191;1.164733506
1942;05;18.453;0.106177113
1942;06;4.94221;0.012700261
1942;07;0.000131228;-0.005474463
1942;08;4.30231;-0.008735138
1942;09;74.7737;0.474485172
1942;10;138.074;1.262377468
1942;11;60.4685;1.284034083
1942;12;40.4215;0.213567626
1943;01;40.4215;0.142277566
1943;02;12.2805;-0.132450893
1943;03;172.278;1.086469225
1943;04;117.274;1.587843093
1943;05;15.911;0.084558344
1943;06;0.273716;-0.048622322
1943;07;11.4736;0.030780559
1943;08;2.14713;0.009190876
1943;09;31.9165;0.127926565
1943;10;65.4126;0.29786055
1943;11;11.6717;-0.095481557
1943;12;79.993;0.113696618
1944;01;0.464595;-0.297412128
1944;02;31.2525;-0.41079075
1944;03;26.3113;-0.433263384
1944;04;71.4502;-0.321603973
1944;05;27.8947;-0.476059107
1944;06;68.6856;-0.027422023
1944;07;1.568;-0.032262603
1944;08;27.826;0.164536998
1944;09;18.214;0.166737996
1944;10;42.998;0.146044105
1944;11;30.3419;-0.088514861
1944;12;35.5764;-0.257083429
1945;01;36.7176;-0.359873787
1945;02;2.89477;-0.714424405
1945;03;36.266;-0.652236001
1945;04;3.10868;-1.12179592
1945;05;12.3016;-1.408864597
1945;06;30.1659;-1.287823303
1945;07;0.446203;-1.302204352
1945;08;0.0206533;-1.341878932
1945;09;0.375027;-1.491391796
1945;10;34.9672;-1.580384668
1945;11;77.6854;-1.412304692
1945;12;112.742;-0.924608395
1946;01;20.9407;-1.161575447
1946;02;19.6282;-1.373814438
1946;03;62.024;-1.092563778
1946;04;84.3213;-0.871440425
1946;05;96.7328;-0.440453
1946;06;5.21266;-0.531629776
1946;07;1.72228;-0.535158262
1946;08;0;-0.575008491
1946;09;28.9572;-0.481440553
1946;10;38.0737;-0.544013793
1946;11;76.79;-0.383548862
1946;12;3.25149;-0.827028823
1947;01;67.9606;-0.664109031
1947;02;224.742;0.868068922
1947;03;183.989;2.18658676
1947;04;35.5693;0.147436049
1947;05;52.2702;0.20028552
1947;06;10.4903;0.153993119
1947;07;1.08836;0.145073378
1947;08;0.529913;0.109729863
1947;09;23.3085;0.155257698
1947;10;43.5208;0.139010028
1947;11;29.2001;-0.105259525
1947;12;41.5038;-0.223417749
1948;01;103.173;0.23897047
1948;02;82.4735;0.561207493
1948;03;26.0668;0.316378395
1948;04;59.7428;0.328470703
1948;05;91.5961;0.715772396
1948;06;1.52042;0.218352501
1948;07;0;0.200176661
1948;08;1.36803;0.171961021
1948;09;0.128746;0.020353628
1948;10;43.2171;0.001523102
1948;11;1.01705;-0.482432859
1948;12;78.1919;-0.288572373
1949;01;8.97472;-0.627305656
1949;02;3.27284;-0.97864093
1949;03;32.1675;-0.951308751
1949;04;29.3557;-1.19764748
1949;05;24.6102;-1.38003607
1949;06;20.1714;-1.3439943
1949;07;3.16652;-1.335240059
1949;08;0.843832;-1.367913809
1949;09;77.9541;-0.857645374
1949;10;4.17523;-1.208512553
1949;11;63.9202;-1.157500507
1949;12;75.2538;-0.988627474
1950;01;26.3131;-1.179904254
1950;02;30.8756;-1.296488271
1950;03;30.6364;-1.28217753
1950;04;17.2264;-1.631671466
1950;05;72.2195;-1.409160584
1950;06;5.06423;-1.501599702
1950;07;3.74474;-1.487927914
1950;08;1.615;-1.514043166
1950;09;26.3999;-1.442224118
1950;10;27.7577;-1.592531119
