Año;Mes;Precipitaciones;ISSP
1940;1;121.23;1.195342796
1940;2;54.0225;0.533104048
1940;3;50.5694;0.60262294
1940;4;11.0414;0.345050641
1940;5;16.0715;0.223444977
1940;6;36.4347;0.458077183
1940;7;1.24147;0.46025874
1940;8;6.65697;0.504959251
1940;9;5.68563;0.436406759
1940;10;91.0387;0.720990162
1940;11;34.7529;0.41168479
1940;12;8.36318;-0.074659391
1941;1;107.292;0.446355625
1941;2;85.6307;0.719281849
1941;3;39.3941;0.51549234
1941;4;57.7307;0.737497056
1941;5;29.7612;0.740371342
1941;6;19.6564;0.82243907
1941;7;6.46188;0.872089627
1941;8;2.15712;0.875873164
1941;9;41.8138;1.135832821
1941;10;15.477;0.145093635
1941;11;43.7448;0.090951399
1941;12;26.8682;-0.227127301
1942;1;29.3385;-0.414940654
1942;2;48.2702;-0.481732111
1942;3;83.8548;-0.109550276
1942;4;80.3429;0.318066361
1942;5;20.1702;0.233730029
1942;6;2.90849;0.163509615
1942;7;1.79087;0.170686846
1942;8;9.00882;0.236772644
1942;9;20.4717;0.302669354
1942;10;66.6401;0.365397166
1942;11;79.499;0.636366584
1942;12;51.0448;0.449348302
1943;1;51.0448;0.458909553
1943;2;25.7747;0.187567324
1943;3;75.9597;0.4879593
1943;4;31.2402;0.469086853
1943;5;14.375;0.332054976
1943;6;0.184834;0.237068456
1943;7;6.41209;0.286266274
1943;8;0.0293984;0.270702515
1943;9;35.6434;0.474554947
1943;10;35.6421;0.255419061
1943;11;3.97802;-0.160321073
1943;12;201.169;1.106511125
1944;1;1.9697;0.110913183
1944;2;66.3226;0.208271548
1944;3;33.1946;0.11980201
1944;4;33.9761;0.125807003
1944;5;40.7914;0.228978501
1944;6;23.1038;0.342393313
1944;7;3.48665;0.36499021
1944;8;16.2442;0.496867058
1944;9;40.5631;0.745454145
1944;10;45.5358;0.418417221
1944;11;39.9643;0.329899035
1944;12;37.6869;0.110194384
1945;1;55.3984;0.159342764
1945;2;1.16021;-0.335818137
1945;3;24.6351;-0.5021189
1945;4;2.4609;-0.782680486
1945;5;3.80858;-1.015792439
1945;6;6.87172;-1.049975346
1945;7;0.987426;-1.050103802
1945;8;1.7067;-1.050415918
1945;9;1.04718;-1.161145669
1945;10;17.4069;-1.546093572
1945;11;48.1485;-1.560193122
1945;12;117.953;-1.050041015
1946;1;37.746;-1.161405273
1946;2;25.5911;-1.43441697
1946;3;83.5389;-1.065107602
1946;4;127.316;-0.210366259
1946;5;79.5687;0.245405831
1946;6;11.5209;0.253497751
1946;7;3.41227;0.275418314
