Año;Mes;Precipitaciones;ISSP
1940;01;217.875;1.120907081
1940;02;109.73;1.428090541
1940;03;85.1357;1.716635865
1940;04;29.9613;-0.064704168
1940;05;23.2034;-0.154206653
1940;06;42.6424;0.122970697
1940;07;0.295833;0.096633692
1940;08;4.9589;0.127969697
1940;09;9.3184;0.034373073
1940;10;188.755;1.073463077
1940;11;76.2308;1.109997205
1940;12;28.7395;-0.429409274
1941;01;226.322;0.65645939
1941;02;172.903;1.430144542
1941;03;79.7382;1.67883197
1941;04;101.871;2.04773037
1941;05;36.5288;2.056629443
1941;06;25.4088;2.20654509
1941;07;10.5733;2.281657467
1941;08;2.83981;2.297345029
1941;09;51.1822;2.543446401
1941;10;11.798;-0.170235472
1941;11;103.262;0.065910841
1941;12;50.8932;-0.297319577
1942;01;77.8693;-0.307701461
1942;02;62.7003;-0.347809323
1942;03;125.507;0.238858296
1942;04;125.879;0.785044028
1942;05;21.9739;-0.001166362
1942;06;3.38807;-0.013863031
1942;07;3.02E-01;-0.014597708
1942;08;1.10612;-0.011712598
1942;09;55.3857;0.265429564
1942;10;186.296;1.286361056
1942;11;112.971;1.594203583
1942;12;107.235;1.647029788
1943;01;107.235;1.85349923
1943;02;20.3728;-0.255260358
1943;03;146.105;0.483513412
1943;04;61.3034;0.552839936
1943;05;25.7269;0.026547707
1943;06;0.0450647;-0.01083542
1943;07;8.35225;0.047875589
1943;08;0.0305669;0.042818266
1943;09;41.1622;0.214926841
1943;10;52.6768;0.249145925
1943;11;11.2791;-0.345687015
1943;12;208.893;0.457833776
1944;01;2.49198;-0.469591128
1944;02;94.086;-0.277930954
1944;03;60.6705;-0.170049161
1944;04;55.0095;-0.147200008
1944;05;47.8494;-0.054703842
1944;06;33.2133;0.152844218
1944;07;4.85558;0.185734031
1944;08;51.1818;0.558403534
1944;09;36.114;0.693233622
1944;10;79.0294;0.922053762
1944;11;86.1081;1.031526917
1944;12;62.8415;-0.177582691
1945;01;96.2234;-0.052428527
1945;02;0.294568;-0.553372183
1945;03;54.3923;-0.491851824
1945;04;1.04638;-0.867493907
1945;05;5.0973;-1.09070108
1945;06;4.39295;-1.095977203
1945;07;1.17E-02;-1.09885727
1945;08;0.057023;-1.103719228
1945;09;0.0217327;-1.235412873
1945;10;39.9212;-1.295387654
1945;11;124.955;-0.899049151
1945;12;187.634;-0.252515672
1946;01;76.2541;-0.274825018
1946;02;38.8716;-0.490896169
1946;03;138.835;0.194192209
1946;04;109.138;0.616753847
1946;05;150.446;1.4668757
1946;06;7.06809;1.481354178
1946;07;0.210289;0.096001991
1946;08;0.426502;0.093868455
1946;09;7.16804;0.014946792
1946;10;42.5243;-0.025805368
1946;11;100.701;0.191429213
1946;12;29.5983;-0.423067456
1947;01;181.254;0.329996081
1947;02;257.686;1.729762202
1947;03;207.103;2.918976354
1947;04;13.2397;-0.188185002
1947;05;25.4403;-0.261169075
1947;06;0.771079;-0.293190942
1947;07;0.0531082;-0.295765033
1947;08;0.0734801;-0.300505464
1947;09;30.97;-0.203661298
1947;10;80.879;0.038817233
1947;11;63.6843;-0.017298403
1947;12;145.297;0.316597047
1948;01;199.753;1.206266647
1948;02;87.4276;1.348757796
1948;03;22.7883;-0.074444338
1948;04;84.6386;0.16720122
1948;05;85.5145;0.537835718
1948;06;7.97982;0.559046876
1948;07;0;0.09444911
1948;08;0.0619816;0.089623768
1948;09;0.111723;-0.041405342
1948;10;56.7929;0.023209126
1948;11;1.62963;-0.491149882
1948;12;111.555;-0.406422591
1949;01;35.866;-0.726978291
1949;02;9.40791;-1.160624376
1949;03;35.609;-1.237809497
1949;04;31.1962;-1.390809912
1949;05;16.1731;-1.532227722
1949;06;3.10114;-1.547043229
1949;07;3.9232;-1.521038586
1949;08;8.4694;-1.463779257
1949;09;142.995;-0.539685283
1949;10;0.146711;-0.893375202
1949;11;57.0158;-0.998734447
1949;12;66.4475;-1.247103971
1950;01;70.6008;-1.31116017
1950;02;48.0536;-1.459426745
1950;03;71.6651;-1.27035521
1950;04;26.9411;-1.454777457
1950;05;43.8254;-1.391996562
1950;06;0.211337;-1.42815185
1950;07;0.542419;-1.427112621
1950;08;2.35248;-1.415023752
1950;09;13.2518;-1.449019824
1950;10;54.0765;-1.40446464
1950;11;26.8729;-1.732414452
1950;12;116.001;-1.614855626
1951;01;112.907;-1.36650124
1951;02;146.608;-0.786991796
1951;03;125.384;-0.201232472
1951;04;41.6184;-0.277270039
1951;05;29.0401;-0.323671351
1951;06;5.14398;-0.323401484
1951;07;0.0518279;-0.325985029
1951;08;0.223872;-0.329614889
1951;09;15.7995;-0.344797443
1951;10;32.0061;-0.463221364
1951;11;210.695;0.566265084
1951;12;95.0482;0.060248029
1952;01;61.0211;-0.074549567
1952;02;21.3183;-0.42024325
1952;03;97.3185;-0.041733909
1952;04;45.1749;-0.091508465
1952;05;126.454;0.581444208
1952;06;12.2063;0.633865852
1952;07;0.22972;0.09614548
1952;08;10.2719;0.16671539
1952;09;8.90452;0.031316772
1952;10;37.092;-0.049550266
1952;11;46.6375;-0.231548178
1952;12;75.1298;-0.415803165
1953;01;56.8537;-0.581374971
1953;02;36.6361;-0.813954196
1953;03;78.0292;-0.577886897
1953;04;58.2877;-0.530829842
1953;05;4.68323;-0.757094719
1953;06;5.45693;-0.75451387
1953;07;0.512052;-0.753698886
1953;08;0.000283987;-0.758979834
1953;09;7.99019;-0.831830321
1953;10;52.4128;-0.799560747
1953;11;32.969;-1.082493843
1953;12;172.702;-0.546225878
1954;01;36.3806;-0.86298151
1954;02;61.7003;-0.910473882
1954;03;181.465;0.089416185
1954;04;37.6846;-0.015670571
1954;05;2.31286;-0.259439471
1954;06;1.94317;-0.28280602
1954;07;0.0983789;-0.285045809
1954;08;0.0163384;-0.290208203
1954;09;0.0138021;-0.421960411
1954;10;9.98114;-0.703027884
1954;11;76.0527;-0.667808938
1954;12;76.1852;-0.844270312
1955;01;184.91;-0.064209004
1955;02;199.633;0.906864118
1955;03;128.659;1.516807715
1955;04;15.646;-0.170415654
1955;05;20.2362;-0.281829459
1955;06;9.47328;-0.24958983
1955;07;0.0367554;-0.252284678
1955;08;0.220248;-0.2559413
1955;09;0.710072;-0.382551896
1955;10;175.384;0.557799816
1955;11;106.154;0.815302134
1955;12;137.386;1.09077872
1956;01;103.154;1.267111973
1956;02;98.502;1.491382147
1956;03;213.193;2.725567969
1956;04;114.766;3.189689634
1956;05;6.65183;-0.114312351
1956;06;1.02006;-0.144495615
1956;07;0.779133;-0.141708369
1956;08;17.3669;-0.018745355
1956;09;63.3044;0.316872532
1956;10;12.0276;-0.168539988
1956;11;57.8462;-0.267767135
1956;12;49.4473;-0.641674818
1957;01;47.1839;-0.878653365
1957;02;39.902;-1.087115517
1957;03;45.3782;-1.092159876
1957;04;115.346;-0.623755195
1957;05;112.763;-0.051903857
1957;06;24.1935;0.089037393
1957;07;0.090027;0.086735929
1957;08;0.781562;0.087224337
1957;09;15.6758;0.071128319
1957;10;92.4078;0.398741397
1957;11;134.57;0.86608197
1957;12;117.636;0.99571447
1958;01;52.7909;-0.098158217
1958;02;24.5698;-0.419841163
1958;03;84.7305;-0.134288043
1958;04;29.7202;-0.298187996
1958;05;21.5396;-0.399976829
1958;06;15.3338;-0.324460128
1958;07;0.0530856;-0.327034386
1958;08;10.104;-0.257704335
1958;09;1.2664;-0.380206721
1958;10;33.7189;-0.485982452
1958;11;37.0113;-0.73906514
1958;12;356.463;1.15418789
1959;01;80.8872;1.166091721
1959;02;53.1427;-0.013270682
1959;03;97.1253;0.363811971
1959;04;36.5386;-0.016134026
1959;05;90.0823;0.38823144
1959;06;2.55985;0.07860271
1959;07;0.00887151;0.075701953
1959;08;2.29884;0.087394716
1959;09;13.1719;0.052808622
1959;10;48.602;0.056937302
1959;11;115.187;0.381143905
1959;12;103.909;0.409409227
1960;01;135.389;0.823782182
1960;02;235.914;2.062772736
1960;03;272.917;3.737991074
