Año;Mes;Precipitaciones;ISSP
1940;01;92.1882;0.411026828
1940;02;51.9737;0.44788623
1940;03;73.3557;0.714661174
1940;04;31.724;0.019665672
1940;05;66.3835;0.292458242
1940;06;72.2238;0.796808711
1940;07;0.508153;0.175644666
1940;08;3.58397;0.201043096
1940;09;21.0139;0.262161813
1940;10;125.581;0.798821279
1940;11;41.8613;-0.000635818
1940;12;25.2819;-0.375558706
1941;01;255.459;1.155022718
1941;02;132.793;1.834382091
1941;03;77.2516;2.132128792
1941;04;116.971;2.651072849
1941;05;40.4313;2.717549753
1941;06;24.3993;2.841703414
1941;07;8.02409;2.898677466
1941;08;1.81039;2.90997623
1941;09;15.5193;2.927413792
1941;10;4.26381;-0.249370921
1941;11;61.7709;-0.270149798
1941;12;10.6525;-0.761373978
1942;01;85.0423;-0.585576928
1942;02;31.6702;-0.710126967
1942;03;157.854;0.228395384
1942;04;93.2013;0.558374287
1942;05;10.8404;0.009655241
1942;06;6.78879;-0.006191718
1942;07;2.92034E-05;-0.013007613
1942;08;0.0191415;-0.015948976
1942;09;107.628;0.733737405
1942;10;146.144;1.433869296
1942;11;109.235;1.790422106
1942;12;66.9507;0.134758192
1943;01;66.9507;0.166730037
1943;02;12.4804;-0.110375716
1943;03;170.174;0.926088584
1943;04;90.9866;1.23846099
1943;05;19.8551;0.081320605
1943;06;0;0.011503896
1943;07;14.8161;0.122473295
1943;08;2.67538;0.140648585
1943;09;38.5123;0.340876667
1943;10;55.491;0.157876705
1943;11;3.35575;-0.327292882
1943;12;39.6895;-0.587677751
1944;01;11.8027;-0.994123318
1944;02;49.779;-0.974711415
1944;03;56.0996;-0.84511959
1944;04;62.6717;-0.757845922
1944;05;16.3481;-0.882826445
1944;06;23.6933;-0.764285366
1944;07;2.26912;-0.753062368
1944;08;37.9523;-0.45444144
1944;09;15.2531;-0.439120124
1944;10;47.875;-0.520210412
1944;11;44.3851;-0.679203503
1944;12;39.1684;-0.943731029
1945;01;12.5687;-1.344087024
1945;02;0.170136;-1.719057325
1945;03;11.5654;-1.943504971
1945;04;2.64725;-2.33341568
1945;05;4.54245;-2.552249154
1945;06;6.75527;-2.568362592
1945;07;7.44799E-06;-2.57517866
1945;08;0.0115891;-2.578180063
1945;09;0.0929809;-2.683379168
1945;10;18.7186;-2.996257979
1945;11;125.176;-2.512976874
1945;12;120.61;-2.130057249
1946;01;39.1396;-2.319179015
1946;02;26.6905;-2.483316841
1946;03;88.3424;-2.097400128
1946;04;115.685;-1.588679557
1946;05;127.432;-0.830561582
1946;06;3.3863;-0.87345777
1946;07;0.0550778;-0.879836038
1946;08;0;-0.882929572
1946;09;13.7371;-0.879660203
1946;10;60.8377;-0.857699186
1946;11;59.0447;-0.900150899
1946;12;3.21648;-1.4504902
1947;01;113.58;-1.047823188
1947;02;253.322;0.589721654
1947;03;182.392;1.723317018
1947;04;12.059;-0.136667802
1947;05;28.6461;-0.163881274
1947;06;0.535933;-0.229437405
1947;07;0.397131;-0.233096407
1947;08;0.415931;-0.23288336
1947;09;25.4069;-0.136841025
1947;10;59.0057;-0.129444103
1947;11;17.2335;-0.50428789
1947;12;59.5346;-0.606907519
1948;01;111.858;-0.217930121
1948;02;93.8343;0.151714078
1948;03;18.9499;-0.014028024
1948;04;84.7734;0.248950478
1948;05;89.7966;0.707873293
1948;06;7.24619;0.166210357
1948;07;0.00308384;0.159418745
1948;08;0.628019;0.161317857
1948;09;0.0310049;0.055626053
1948;10;39.0525;-0.09560164
1948;11;7.43918;-0.548308639
1948;12;147.055;0.04484433
1949;01;18.0577;-0.311875029
1949;02;7.26274;-0.63046031
1949;03;69.9235;-0.390970784
1949;04;68.8045;-0.254942377
1949;05;27.9486;-0.287700858
1949;06;10.6214;-0.273079206
1949;07;0.878648;-0.272910228
1949;08;0.703171;-0.270413671
1949;09;122.038;0.59382981
1949;10;4.95634;-0.243865423
1949;11;96.1957;0.009027125
1949;12;137.293;0.524573821
1950;01;52.389;0.094629818
1950;02;41.3821;0.047287765
1950;03;44.4805;0.08450968
1950;04;10.1405;-0.245830939
1950;05;75.7126;0.101126422
1950;06;7.15014;0.088152135
1950;07;4.14868;0.114317322
