Año;Mes;Precipitaciones;ISSP
1940;1;78.7414;0.797570574
1940;2;29.6382;0.230006139
1940;3;36.4779;0.177514212
1940;4;10.0244;-0.18579927
1940;5;32.0753;-0.464139068
1940;6;79.0545;0.110318
1940;7;2.56888;0.101231731
1940;8;20.491;0.200607702
1940;9;13.8843;0.113830431
1940;10;56.2006;0.134508839
1940;11;52.6044;0.248359645
1940;12;16.0152;-0.090362765
1941;1;175.919;1.24602898
1941;2;114.824;1.893349368
1941;3;42.9684;1.906622438
1941;4;88.5444;2.33891292
1941;5;62.0611;2.364404265
1941;6;49.5164;2.63956651
1941;7;6.22198;2.66749528
1941;8;17.9386;2.741009056
1941;9;52.8909;3.049466192
1941;10;24.9016;0.149372205
1941;11;50.7381;0.244312724
1941;12;22.2101;-0.031639856
1942;1;35.1266;-0.12182722
1942;2;39.9884;-0.23277861
1942;3;67.114;0.025149771
1942;4;66.4916;0.233990239
1942;5;23.0095;-0.136208785
1942;6;6.72355;-0.294645127
1942;7;5.11119;-0.277971439
1942;8;7.00845;-0.315207416
1942;9;23.8607;-0.300898805
1942;10;38.0538;-0.464092864
1942;11;41.4146;-0.463622716
1942;12;54.4336;-0.413070656
1943;1;54.4336;-0.307629826
1943;2;29.8448;-0.521361252
1943;3;49.7339;-0.439536748
1943;4;26.2025;-0.638925619
1943;5;19.3922;-1.045776938
1943;6;4.57308;-1.226002919
1943;7;9.48771;-1.164984138
1943;8;1.34242;-1.25963117
1943;9;49.4362;-0.986178784
1943;10;57.558;-0.951746519
1943;11;10.7631;-1.26185272
1943;12;230.882;0.576562897
1944;1;2.70198;0.027101088
1944;2;30.5341;-0.179646005
1944;3;11.9921;-0.480240321
1944;4;17.1682;-0.771169244
1944;5;42.1633;-0.947292373
1944;6;8.63518;-1.086359123
1944;7;3.62776;-1.08471629
1944;8;15.254;-1.038404226
1944;9;60.609;-0.651743435
1944;10;25.939;-0.937690714
1944;11;25.2026;-1.10148867
1944;12;34.8388;-1.249480937
1945;1;60.9168;-1.078349077
1945;2;2.78282;-1.566286038
1945;3;11.626;-1.870589862
1945;4;0.408872;-2.33133269
1945;5;9.72557;-2.836131145
1945;6;22.89;-2.83076092
1945;7;8.1328;-2.783470765
1945;8;5.08646;-2.840181309
1945;9;3.6028;-3.031135886
1945;10;32.8562;-3.24699463
1945;11;71.3118;-2.943591079
1945;12;84.584;-2.587540066
1946;1;39.2788;-2.63565526
1946;2;10.0479;-3.049978791
1946;3;78.5306;-2.676371701
1946;4;197.323;-1.141881965
1946;5;70.9419;-1.026405906
1946;6;6.67016;-1.185383223
1946;7;9.03972;-1.128903701
1946;8;2.12329;-1.215638566
1946;9;14.8736;-1.292391754
1946;10;42.1884;-1.413691974
1946;11;100.859;-0.810901394
1946;12;55.9331;-0.745155649
1947;1;61.1205;-0.571959799
1947;2;156.092;0.493508632
1947;3;105.926;1.144699635
1947;4;38.1139;0.367134339
1947;5;70.2351;0.475448747
1947;6;5.89282;0.278977225
1947;7;6.75955;0.312352923
1947;8;38.4314;0.593510012
1947;9;41.1546;0.783049079
1947;10;54.4516;0.786005742
1947;11;13.0643;0.15904165
1947;12;53.7264;0.202428005
1948;1;87.2762;0.640646507
1948;2;46.6173;0.402046884
1948;3;28.2003;0.265682168
1948;4;103.127;0.845730857
1948;5;81.0895;1.064027481
1948;6;25.9737;1.100643299
1948;7;17.0677;1.238466335
1948;8;1.65574;0.354358624
1948;9;6.96108;0.197431821
1948;10;136.973;1.036536638
1948;11;0.00388308;0.026706965
1948;12;32.6019;-0.143950693
1949;1;49.4882;-0.088619133
1949;2;72.798;0.132872775
1949;3;40.6186;0.122336494
1949;4;79.3671;0.461637977
1949;5;55.2288;0.402094
1949;6;72.0552;0.905630655
1949;7;4.90466;0.920211678
1949;8;36.4348;1.181138216
1949;9;38.1309;1.34003964
1949;10;4.69954;-0.055325185
1949;11;64.1295;0.175303706
1949;12;57.0448;0.252313752
1950;1;41.4921;0.226624823
1950;2;31.1178;0.02579207
1950;3;23.8218;-0.154937801
1950;4;30.505;-0.310731587
1950;5;50.4602;-0.40278637
1950;6;8.31378;-0.545109706
1950;7;4.21318;-0.537535104
1950;8;46.5985;-0.173624868
1950;9;68.1542;0.289487668
1950;10;55.8567;0.306681509
1950;11;12.9001;0.018228462
1950;12;50.3498;0.027401415
1951;1;76.018;0.351546196
1951;2;57.2542;0.415540538
1951;3;58.6945;0.588158329
1951;4;109.613;1.233926417
1951;5;53.4823;0.384397588
1951;6;27.9875;0.441418236
1951;7;6.58185;0.472993388
1951;8;4.43957;0.382565783
1951;9;102.404;1.192714446
1951;10;42.9845;0.332597204
1951;11;93.6485;0.862327386
1951;12;81.1296;1.183376688
1952;1;34.0659;0.344896033
